n: np: a: b: równo(0)/opty(1)
15.000000 150.000000 -6.000000 6.000000 0 /nxp:        fxp:       Ln:
-6.000000  5.761022  5.761022
-5.920000  5.533838  -0.063903
-5.840000  5.275800  -2.707335
-5.760000  4.989497  -3.365436
-5.680000  4.677667  -2.889254
-5.600000  4.343169  -1.864306
-5.520000  3.988961  -0.675196
-5.440000  3.618076  0.442415
-5.360000  3.233596  1.360471
-5.280000  2.838630  2.026056
-5.200000  2.436287  2.436287
-5.120000  2.029656  2.619242
-5.040000  1.621781  2.619820
-4.960000  1.215639  2.489553
-4.880000  0.814117  2.279569
-4.800000  0.419995  2.036030
-4.720000  0.035924  1.797456
-4.640000  0.335592  1.593473
-4.560000  0.692207  1.444603
-4.480000  1.031757  1.362768
-4.400000  1.352265  1.352265
-4.320000  1.651955  1.411019
-4.240000  1.929263  1.531955
-4.160000  2.182845  1.704374
-4.080000  2.411580  1.915261
-4.000000  2.614574  2.150461
-3.920000  2.791168  2.395696
-3.840000  2.940930  2.637389
-3.760000  3.063659  2.863316
-3.680000  3.159377  3.063063
-3.600000  3.228330  3.228330
-3.520000  3.270975  3.353067
-3.440000  3.287972  3.433490
-3.360000  3.280179  3.467990
-3.280000  3.248633  3.456948
-3.200000  3.194543  3.402493
-3.120000  3.119273  3.308213
-3.040000  3.024325  3.178848
-2.960000  2.911330  3.019966
-2.880000  2.782020  2.837653
-2.800000  2.638223  2.638223
-2.720000  2.481832  2.427944
-2.640000  2.314799  2.212814
-2.560000  2.139107  1.998367
-2.480000  1.956757  1.789518
-2.400000  1.769745  1.590457
-2.320000  1.580050  1.404581
-2.240000  1.389610  1.234460
-2.160000  1.200310  1.081847
-2.080000  1.013963  0.947711
-2.000000  0.832294  0.832294
-1.920000  0.656927  0.735199
-1.840000  0.489374  0.655484
-1.760000  0.331015  0.591765
-1.680000  0.183098  0.542330
-1.600000  0.046719  0.505247
-1.520000  0.077177  0.478474
-1.440000  0.187810  0.459951
-1.360000  0.284565  0.447694
-1.280000  0.366995  0.439864
-1.200000  0.434829  0.434829
-1.120000  0.487964  0.431206
-1.040000  0.526469  0.427890
-0.960000  0.550579  0.424064
-0.880000  0.560693  0.419198
-0.800000  0.557365  0.413033
-0.720000  0.541300  0.405552
-0.640000  0.513341  0.396945
-0.560000  0.474463  0.387564
-0.480000  0.425758  0.377880
-0.400000  0.368424  0.368424
-0.320000  0.303755  0.359749
-0.240000  0.233121  0.352376
-0.160000  0.157956  0.346756
-0.080000  0.079744  0.343238
0.000000  0.000000  0.342040
0.080000  0.079744  0.343238
0.160000  0.157956  0.346756
0.240000  0.233121  0.352376
0.320000  0.303755  0.359749
0.400000  0.368424  0.368424
0.480000  0.425758  0.377880
0.560000  0.474463  0.387564
0.640000  0.513341  0.396945
0.720000  0.541300  0.405552
0.800000  0.557365  0.413033
0.880000  0.560693  0.419198
0.960000  0.550579  0.424064
1.040000  0.526469  0.427890
1.120000  0.487964  0.431206
1.200000  0.434829  0.434829
1.280000  0.366995  0.439864
1.360000  0.284565  0.447694
1.440000  0.187810  0.459951
1.520000  0.077177  0.478474
1.600000  0.046719  0.505247
1.680000  0.183098  0.542330
1.760000  0.331015  0.591765
1.840000  0.489374  0.655484
1.920000  0.656927  0.735199
2.000000  0.832294  0.832294
2.080000  1.013963  0.947711
2.160000  1.200310  1.081847
2.240000  1.389610  1.234460
2.320000  1.580050  1.404581
2.400000  1.769745  1.590457
2.480000  1.956757  1.789518
2.560000  2.139107  1.998367
2.640000  2.314799  2.212814
2.720000  2.481832  2.427944
2.800000  2.638223  2.638223
2.880000  2.782020  2.837653
2.960000  2.911330  3.019966
3.040000  3.024325  3.178848
3.120000  3.119273  3.308213
3.200000  3.194543  3.402493
3.280000  3.248633  3.456948
3.360000  3.280179  3.467990
3.440000  3.287972  3.433490
3.520000  3.270975  3.353067
3.600000  3.228330  3.228330
3.680000  3.159377  3.063063
3.760000  3.063659  2.863316
3.840000  2.940930  2.637389
3.920000  2.791168  2.395696
4.000000  2.614574  2.150461
4.080000  2.411580  1.915261
4.160000  2.182845  1.704374
4.240000  1.929263  1.531955
4.320000  1.651955  1.411019
4.400000  1.352265  1.352265
4.480000  1.031757  1.362768
4.560000  0.692207  1.444603
4.640000  0.335592  1.593473
4.720000  0.035924  1.797456
4.800000  0.419995  2.036030
4.880000  0.814117  2.279569
4.960000  1.215639  2.489553
5.040000  1.621781  2.619820
5.120000  2.029656  2.619242
5.200000  2.436287  2.436287
5.280000  2.838630  2.026056
5.360000  3.233596  1.360471
5.440000  3.618076  0.442415
5.520000  3.988961  -0.675196
5.600000  4.343169  -1.864306
5.680000  4.677667  -2.889254
5.760000  4.989497  -3.365436
5.840000  5.275800  -2.707335
5.920000  5.533838  -0.063903
6.000000  5.761022  5.761022
